Time,Bias,LeftPWM,RightPWM
3.38215200000559,0.00354178064485,30.0,40.0
3.9635420000049635,-0.0192834836393,35.0,35.0
4.544580000001588,-0.0623433325652,40.0,30.0
5.126509000001533,-0.112454683395,45.0,25.0
5.712611000002653,-0.148847954567,50.0,20.0
6.301426999998512,-0.145045573176,55.0,15.0
6.882975000000442,-0.0760871979868,60.0,10.0
7.468428000000131,0.110261066014,55.0,15.0
8.075206000001344,0.382803334727,50.0,20.0
8.679951999998593,0.6885520775,45.0,25.0
9.259996000000683,1.00285176609,40.0,30.0
9.841307000002416,1.32741189935,35.0,35.0
10.424438000001828,1.64389735777,30.0,40.0
11.009412999999768,1.92803448815,25.0,45.0
11.597042000001238,2.18673969135,20.0,50.0
