Time,yaw,Bias,LeftPWM,RightPWM
6.708047000000079,0.0,0.0,35.0,35.0
7.2895449999996345,-2.680000000000007,-0.0271895494505,40.0,30.0
7.871505000002799,-3.6200000000000045,-0.0639338594729,45.0,25.0
8.458340999997745,-0.75,-0.0716153053795,50.0,20.0
9.043039000003773,2.6899999999999977,-0.0441741940463,55.0,15.0
9.624081000001752,9.5,0.0517253969579,50.0,20.0
10.205512000000454,13.939999999999998,0.191795422634,45.0,25.0
10.787150000003749,15.879999999999995,0.350945242671,40.0,30.0
11.369404999997641,17.0,0.521180129602,35.0,35.0
11.962697000002663,16.0,0.684713567711,30.0,40.0
12.548587999997835,14.569999999999993,0.832101849955,25.0,45.0
13.131350000003295,9.0,0.923265911672,20.0,50.0
13.71335099999851,2.1899999999999977,0.945506151143,15.0,55.0
14.30454699999973,-9.680000000000007,0.846099325978,10.0,60.0
14.886310000001686,-27.250000000000007,0.579725223497,5.0,65.0
15.467839999997523,-53.93000000000001,0.109675527281,0.0,70.0
16.054878000002645,261.44,-0.470823183733,5.0,65.0
