Time,Bias,LeftPWM,RightPWM
4.170422000002873,0.0,35.0,35.0
4.7496679999967455,-0.0265793060838,45.0,25.0
5.330401999999594,-0.0285050894261,55.0,15.0
5.911938999997801,0.0391416484993,45.0,25.0
6.493977999998606,0.157669089691,35.0,35.0
7.083881999998994,0.274570708724,25.0,45.0
7.664371999999275,0.352850325238,15.0,55.0
8.247929999997723,0.359164907258,5.0,65.0
8.83166699999856,0.177521085717,0.0,75.0
9.414831000001868,-0.260521928923,10.0,65.0
9.996742000002996,-0.837625450051,20.0,55.0
10.578484999998182,-1.41832025446,30.0,45.0
11.165911999996752,-2.00046427063,40.0,35.0
