Time,yaw
8.696937000000617,0.0
9.285553000001528,-1.75
9.86801800000103,-2.809999999999995
10.449971000001824,-3.5
11.031889999998384,-5.439999999999998
11.614916999998968,-6.119999999999997
12.195629000001645,-6.809999999999995
12.784379999997327,-8.0
13.36581699999806,-8.869999999999997
13.9467319999967,-9.559999999999995
14.527322000001732,-11.059999999999995
15.107029999999213,-12.369999999999997
15.688759999997274,-13.619999999999997
16.269827999996778,-15.309999999999995
16.855984000001627,-16.189999999999998
17.43766499999765,-17.439999999999998
18.023535000000265,-18.309999999999995
18.60541899999953,-18.75
19.18647400000191,-20.869999999999997
19.768271000000823,-21.5
20.348925999998755,-23.119999999999997
20.931667999997444,-25.369999999999997
21.51564900000085,-27.059999999999995
22.10008299999754,-28.309999999999995
22.687002999999095,-29.689999999999998
23.281192000002193,-31.31
23.861000999997486,-32.56
24.44706700000097,-35.31
